benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Map/17/mbo::types::CompareLess<int>/UpperBound/MiddleHit	3.260138	3.238716	-0.657	PASS
Map/17/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	2.844201	2.836238	-0.280	PASS
Map/17/std::greater<>/IndexOf/After	4.534620	4.543032	+0.186	FAIL
Map/17/std::greater<>/IndexOf/Before	6.267452	6.335226	+1.081	FAIL
Map/17/std::greater<>/IndexOf/First	2.969928	3.159377	+6.379	FAIL
Map/17/std::greater<>/IndexOf/Last	2.525639	2.829985	+12.050	FAIL
Map/17/std::greater<>/IndexOf/MiddleHit	2.501753	2.509821	+0.323	FAIL
Map/17/std::greater<>/IndexOf/MiddleMiss	2.505780	2.494026	-0.469	PASS
Map/17/std::greater<>/LowerBound/After	4.198648	3.826698	-8.859	PASS
Map/17/std::greater<>/LowerBound/Before	5.249169	5.284382	+0.671	FAIL
Map/17/std::greater<>/LowerBound/First	2.579550	2.910635	+12.835	FAIL
Map/17/std::greater<>/LowerBound/Last	2.206730	2.209782	+0.138	FAIL
Map/17/std::greater<>/LowerBound/MiddleHit	2.190645	2.189000	-0.075	PASS
Map/17/std::greater<>/LowerBound/MiddleMiss	2.196542	2.189479	-0.322	PASS
Map/17/std::greater<>/UpperBound/After	4.273189	3.826823	-10.446	PASS
Map/17/std::greater<>/UpperBound/Before	5.569001	5.566227	-0.050	PASS
Map/17/std::greater<>/UpperBound/First	2.843100	3.239947	+13.958	FAIL
Map/17/std::greater<>/UpperBound/Last	2.075634	2.071959	-0.177	PASS
Map/17/std::greater<>/UpperBound/MiddleHit	2.869639	2.836751	-1.146	PASS
Map/17/std::greater<>/UpperBound/MiddleMiss	2.844467	2.826779	-0.622	PASS
Map/17/std::less<>/IndexOf/After	4.533867	4.528560	-0.117	PASS
Map/17/std::less<>/IndexOf/Before	6.277040	6.792539	+8.212	FAIL
Map/17/std::less<>/IndexOf/First	2.767418	3.239732	+17.067	FAIL
Map/17/std::less<>/IndexOf/Last	2.522391	2.711597	+7.501	FAIL
Map/17/std::less<>/IndexOf/MiddleHit	2.510436	2.503146	-0.290	PASS
Map/17/std::less<>/IndexOf/MiddleMiss	2.511521	2.529192	+0.704	FAIL
Map/17/std::less<>/LowerBound/After	3.828707	3.832424	+0.097	FAIL
Map/17/std::less<>/LowerBound/Before	4.907610	4.633000	-5.596	PASS
Map/17/std::less<>/LowerBound/First	2.567222	2.837314	+10.521	FAIL
Map/17/std::less<>/LowerBound/Last	2.200222	2.203172	+0.134	FAIL
Map/17/std::less<>/LowerBound/MiddleHit	2.188266	2.190285	+0.092	FAIL
Map/17/std::less<>/LowerBound/MiddleMiss	2.433474	2.785336	+14.459	FAIL
Map/17/std::less<>/UpperBound/After	4.243245	3.840566	-9.490	PASS
Map/17/std::less<>/UpperBound/Before	5.219924	7.316143	+40.158	FAIL
Map/17/std::less<>/UpperBound/First	2.836648	2.834422	-0.078	PASS
Map/17/std::less<>/UpperBound/Last	2.166118	2.076244	-4.149	PASS
Map/17/std::less<>/UpperBound/MiddleHit	2.835432	2.853765	+0.647	FAIL
Map/17/std::less<>/UpperBound/MiddleMiss	2.830051	2.847165	+0.605	FAIL
Map/2/mbo::types::CompareLess<int>/IndexOf/After	1.741001	2.095103	+20.339	FAIL
Map/2/mbo::types::CompareLess<int>/IndexOf/Before	2.087275	2.086413	-0.041	PASS
Map/2/mbo::types::CompareLess<int>/IndexOf/First	0.699435	0.721968	+3.222	FAIL
Map/2/mbo::types::CompareLess<int>/IndexOf/Last	0.698227	1.043447	+49.442	FAIL
Map/2/mbo::types::CompareLess<int>/IndexOf/MiddleHit	0.860131	0.696305	-19.047	PASS
Map/2/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	0.654922	0.696172	+6.298	FAIL
Map/2/mbo::types::CompareLess<int>/LowerBound/After	1.740818	2.089503	+20.030	FAIL
