benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Map/8/std::less<>/LowerBound/Before	3.830702	4.877273	+27.321	FAIL
Map/8/std::less<>/LowerBound/First	2.277392	4.529654	+98.896	FAIL
Map/8/std::less<>/LowerBound/Last	1.614687	1.742840	+7.937	FAIL
Map/8/std::less<>/LowerBound/MiddleHit	1.615685	2.792902	+72.862	FAIL
Map/8/std::less<>/LowerBound/MiddleMiss	1.613839	3.161863	+95.922	FAIL
Map/8/std::less<>/UpperBound/After	3.145599	2.091977	-33.495	PASS
Map/8/std::less<>/UpperBound/Before	3.829365	2.800456	-26.869	PASS
Map/8/std::less<>/UpperBound/First	2.198491	2.442947	+11.119	FAIL
Map/8/std::less<>/UpperBound/Last	1.613204	1.743504	+8.077	FAIL
Map/8/std::less<>/UpperBound/MiddleHit	1.612614	2.100866	+30.277	FAIL
Map/8/std::less<>/UpperBound/MiddleMiss	1.610004	2.095800	+30.174	FAIL
Set/16/mbo::types::CompareLess<int>/IndexOf/After	1.042812	0.723267	-30.643	PASS
Set/16/mbo::types::CompareLess<int>/IndexOf/Before	2.448285	2.226350	-9.065	PASS
Set/16/mbo::types::CompareLess<int>/IndexOf/First	2.811548	2.671788	-4.971	PASS
Set/16/mbo::types::CompareLess<int>/IndexOf/Last	1.043874	1.048296	+0.424	FAIL
Set/16/mbo::types::CompareLess<int>/IndexOf/MiddleHit	1.395430	1.738602	+24.593	FAIL
Set/16/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	1.751409	1.739580	-0.675	PASS
Set/16/mbo::types::CompareLess<int>/LowerBound/After	3.835480	1.741733	-54.589	PASS
Set/16/mbo::types::CompareLess<int>/LowerBound/Before	5.006445	6.957950	+38.980	FAIL
Set/16/mbo::types::CompareLess<int>/LowerBound/First	2.832471	6.625895	+133.926	FAIL
Set/16/mbo::types::CompareLess<int>/LowerBound/Last	2.192461	1.741814	-20.554	PASS
Set/16/mbo::types::CompareLess<int>/LowerBound/MiddleHit	2.195748	3.830271	+74.440	FAIL
Set/16/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	2.384312	3.828889	+60.587	FAIL
Set/16/mbo::types::CompareLess<int>/UpperBound/After	4.867694	1.737509	-64.305	PASS
Set/16/mbo::types::CompareLess<int>/UpperBound/Before	5.390614	3.478994	-35.462	PASS
Set/16/mbo::types::CompareLess<int>/UpperBound/First	2.828748	2.786578	-1.491	PASS
Set/16/mbo::types::CompareLess<int>/UpperBound/Last	2.191844	1.043261	-52.403	PASS
Set/16/mbo::types::CompareLess<int>/UpperBound/MiddleHit	2.182719	2.085621	-4.448	PASS
Set/16/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	2.195170	2.092375	-4.683	PASS
Set/16/std::greater<>/IndexOf/After	0.696947	1.046153	+50.105	FAIL
Set/16/std::greater<>/IndexOf/Before	2.495084	2.466685	-1.138	PASS
Set/16/std::greater<>/IndexOf/First	2.862545	2.313372	-19.185	PASS
Set/16/std::greater<>/IndexOf/Last	1.043706	1.045682	+0.189	FAIL
Set/16/std::greater<>/IndexOf/MiddleHit	1.756061	1.745237	-0.616	PASS
Set/16/std::greater<>/IndexOf/MiddleMiss	1.741879	1.741815	-0.004	PASS
Set/16/std::greater<>/LowerBound/After	3.833198	1.740762	-54.587	PASS
Set/16/std::greater<>/LowerBound/Before	4.781424	4.870243	+1.858	FAIL
Set/16/std::greater<>/LowerBound/First	2.886583	4.546102	+57.491	FAIL
Set/16/std::greater<>/LowerBound/Last	2.196008	1.741043	-20.718	PASS
Set/16/std::greater<>/LowerBound/MiddleHit	2.200059	2.788964	+26.768	FAIL
Set/16/std::greater<>/LowerBound/MiddleMiss	2.193608	2.789461	+27.163	FAIL
Set/16/std::greater<>/UpperBound/After	3.829446	1.739729	-54.570	PASS
Set/16/std::greater<>/UpperBound/Before	4.643425	3.486004	-24.926	PASS
Set/16/std::greater<>/UpperBound/First	2.844524	2.786875	-2.027	PASS
Set/16/std::greater<>/UpperBound/Last	2.196372	1.045939	-52.379	PASS
Set/16/std::greater<>/UpperBound/MiddleHit	2.271948	2.091127	-7.959	PASS
Set/16/std::greater<>/UpperBound/MiddleMiss	2.194025	2.089809	-4.750	PASS
Set/16/std::less<>/IndexOf/After	0.698167	1.394526	+99.741	FAIL
Set/16/std::less<>/IndexOf/Before	2.675246	3.175983	+18.717	FAIL
Set/16/std::less<>/IndexOf/First	2.666855	2.273778	-14.739	PASS
Set/16/std::less<>/IndexOf/Last	1.048947	0.819698	-21.855	PASS
Set/16/std::less<>/IndexOf/MiddleHit	1.745731	1.758350	+0.723	FAIL
Set/16/std::less<>/IndexOf/MiddleMiss	1.744225	1.756847	+0.724	FAIL
Set/16/std::less<>/LowerBound/After	3.831336	1.754897	-54.196	PASS
Set/16/std::less<>/LowerBound/Before	5.118251	7.316750	+42.954	FAIL
Set/16/std::less<>/LowerBound/First	2.839918	6.988040	+146.065	FAIL
Set/16/std::less<>/LowerBound/Last	2.192758	1.355659	-38.176	PASS
Set/16/std::less<>/LowerBound/MiddleHit	2.191398	4.173442	+90.447	FAIL
Set/16/std::less<>/LowerBound/MiddleMiss	2.189101	4.175908	+90.759	FAIL
Set/16/std::less<>/UpperBound/After	3.823728	1.750248	-54.227	PASS
Set/16/std::less<>/UpperBound/Before	5.137095	3.494234	-31.980	PASS
Set/16/std::less<>/UpperBound/First	2.836115	3.134726	+10.529	FAIL
Set/16/std::less<>/UpperBound/Last	2.193081	1.050141	-52.116	PASS
Set/16/std::less<>/UpperBound/MiddleHit	2.191686	2.444209	+11.522	FAIL
Set/16/std::less<>/UpperBound/MiddleMiss	2.198352	2.439150	+10.954	FAIL
Set/17/mbo::types::CompareLess<int>/IndexOf/After	5.066228	4.866701	-3.938	PASS
Set/17/mbo::types::CompareLess<int>/IndexOf/Before	6.622960	6.383613	-3.614	PASS
Set/17/mbo::types::CompareLess<int>/IndexOf/First	2.887925	2.941383	+1.851	FAIL
Set/17/mbo::types::CompareLess<int>/IndexOf/Last	2.623065	3.405844	+29.842	FAIL
Set/17/mbo::types::CompareLess<int>/IndexOf/MiddleHit	2.523951	2.795534	+10.760	FAIL
Set/17/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	2.783583	2.729273	-1.951	PASS
Set/17/mbo::types::CompareLess<int>/LowerBound/After	3.839602	4.178591	+8.829	FAIL
Set/17/mbo::types::CompareLess<int>/LowerBound/Before	5.216765	5.994210	+14.903	FAIL
Set/17/mbo::types::CompareLess<int>/LowerBound/First	2.516067	3.209240	+27.550	FAIL
Set/17/mbo::types::CompareLess<int>/LowerBound/Last	2.196806	2.198643	+0.084	FAIL
Set/17/mbo::types::CompareLess<int>/LowerBound/MiddleHit	2.202373	2.373054	+7.750	FAIL
Set/17/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	2.194238	2.409359	+9.804	FAIL
Set/17/mbo::types::CompareLess<int>/UpperBound/After	3.830822	4.886373	+27.554	FAIL
Set/17/mbo::types::CompareLess<int>/UpperBound/Before	5.231589	7.107610	+35.860	FAIL
Set/17/mbo::types::CompareLess<int>/UpperBound/First	2.877722	3.293550	+14.450	FAIL
Set/17/mbo::types::CompareLess<int>/UpperBound/Last	2.164346	2.344834	+8.339	FAIL
Set/17/mbo::types::CompareLess<int>/UpperBound/MiddleHit	2.830572	2.971891	+4.993	FAIL
Set/17/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	2.847167	3.228918	+13.408	FAIL
Set/17/std::greater<>/IndexOf/After	5.002924	4.529115	-9.471	PASS
Set/17/std::greater<>/IndexOf/Before	6.268644	6.269372	+0.012	FAIL
Set/17/std::greater<>/IndexOf/First	3.156796	3.140906	-0.503	PASS
Set/17/std::greater<>/IndexOf/Last	2.553051	2.520592	-1.271	PASS
Set/17/std::greater<>/IndexOf/MiddleHit	2.529106	2.496405	-1.293	PASS
Set/17/std::greater<>/IndexOf/MiddleMiss	3.129154	2.497119	-20.198	PASS
Set/17/std::greater<>/LowerBound/After	3.829554	4.372037	+14.166	FAIL
Set/17/std::greater<>/LowerBound/Before	4.904518	5.223722	+6.508	FAIL
Set/17/std::greater<>/LowerBound/First	2.840187	2.829393	-0.380	PASS
Set/17/std::greater<>/LowerBound/Last	2.190153	2.193041	+0.132	FAIL
Set/17/std::greater<>/LowerBound/MiddleHit	2.196686	2.192397	-0.195	PASS
Set/17/std::greater<>/LowerBound/MiddleMiss	2.206317	2.200832	-0.249	PASS
Set/17/std::greater<>/UpperBound/After	3.831003	4.506969	+17.645	FAIL
Set/17/std::greater<>/UpperBound/Before	5.247517	5.226525	-0.400	PASS
Set/17/std::greater<>/UpperBound/First	2.836172	2.848136	+0.422	FAIL
Set/17/std::greater<>/UpperBound/Last	2.065982	2.190780	+6.041	FAIL
Set/17/std::greater<>/UpperBound/MiddleHit	3.237494	2.834626	-12.444	PASS
Set/17/std::greater<>/UpperBound/MiddleMiss	3.238411	2.995291	-7.507	PASS
Set/17/std::less<>/IndexOf/After	4.973958	4.528506	-8.956	PASS
Set/17/std::less<>/IndexOf/Before	6.269265	6.270828	+0.025	FAIL
Set/17/std::less<>/IndexOf/First	2.859272	3.831548	+34.004	FAIL
Set/17/std::less<>/IndexOf/Last	2.836293	2.550268	-10.084	PASS
Set/17/std::less<>/IndexOf/MiddleHit	2.521390	2.521596	+0.008	FAIL
Set/17/std::less<>/IndexOf/MiddleMiss	3.136690	2.526880	-19.441	PASS
Set/17/std::less<>/LowerBound/After	3.833137	4.294592	+12.039	FAIL
Set/17/std::less<>/LowerBound/Before	4.954868	4.897667	-1.154	PASS
Set/17/std::less<>/LowerBound/First	2.903263	2.910085	+0.235	FAIL
Set/17/std::less<>/LowerBound/Last	2.190834	2.193626	+0.127	FAIL
Set/17/std::less<>/LowerBound/MiddleHit	2.193665	2.197548	+0.177	FAIL
Set/17/std::less<>/LowerBound/MiddleMiss	2.190978	2.198229	+0.331	FAIL
Set/17/std::less<>/UpperBound/After	3.831499	4.293890	+12.068	FAIL
Set/17/std::less<>/UpperBound/Before	5.182333	6.596777	+27.294	FAIL
Set/17/std::less<>/UpperBound/First	2.831976	2.836576	+0.162	FAIL
Set/17/std::less<>/UpperBound/Last	2.165755	2.093592	-3.332	PASS
Set/17/std::less<>/UpperBound/MiddleHit	3.039570	2.831289	-6.852	PASS
Set/17/std::less<>/UpperBound/MiddleMiss	2.839708	3.235342	+13.932	FAIL
Set/2/mbo::types::CompareLess<int>/IndexOf/After	1.740178	1.743404	+0.185	FAIL
Set/2/mbo::types::CompareLess<int>/IndexOf/Before	2.089272	2.089874	+0.029	FAIL
Set/2/mbo::types::CompareLess<int>/IndexOf/First	0.698626	0.696093	-0.363	PASS
Set/2/mbo::types::CompareLess<int>/IndexOf/Last	1.045821	1.393668	+33.261	FAIL
Set/2/mbo::types::CompareLess<int>/IndexOf/MiddleHit	0.698779	1.044303	+49.447	FAIL
Set/2/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	0.698428	0.697302	-0.161	PASS
Set/2/mbo::types::CompareLess<int>/LowerBound/After	1.741004	2.090705	+20.086	FAIL
Set/2/mbo::types::CompareLess<int>/LowerBound/Before	2.440107	3.140542	+28.705	FAIL
Set/2/mbo::types::CompareLess<int>/LowerBound/First	1.081821	1.045199	-3.385	PASS
Set/2/mbo::types::CompareLess<int>/LowerBound/Last	1.064394	0.695861	-34.624	PASS
Set/2/mbo::types::CompareLess<int>/LowerBound/MiddleHit	1.066920	0.696895	-34.682	PASS
Set/2/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	1.116000	1.045473	-6.320	PASS
Set/2/mbo::types::CompareLess<int>/UpperBound/After	1.742693	2.113438	+21.274	FAIL
Set/2/mbo::types::CompareLess<int>/UpperBound/Before	2.437336	2.789263	+14.439	FAIL
Set/2/mbo::types::CompareLess<int>/UpperBound/First	1.078588	0.697767	-35.307	PASS
Set/2/mbo::types::CompareLess<int>/UpperBound/Last	0.696125	0.723233	+3.894	FAIL
Set/2/mbo::types::CompareLess<int>/UpperBound/MiddleHit	0.699331	0.696468	-0.409	PASS
Set/2/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	1.066487	0.694967	-34.836	PASS
Set/2/std::greater<>/IndexOf/After	2.090608	1.740419	-16.751	PASS
Set/2/std::greater<>/IndexOf/Before	2.092800	2.090585	-0.106	PASS
Set/2/std::greater<>/IndexOf/First	0.774964	0.702067	-9.407	PASS
Set/2/std::greater<>/IndexOf/Last	0.698340	1.043450	+49.419	FAIL
Set/2/std::greater<>/IndexOf/MiddleHit	0.733566	0.697106	-4.970	PASS
Set/2/std::greater<>/IndexOf/MiddleMiss	0.698809	0.699243	+0.062	FAIL
Set/2/std::greater<>/LowerBound/After	1.740076	2.087019	+19.938	FAIL
Set/2/std::greater<>/LowerBound/Before	2.444816	2.784017	+13.874	FAIL
Set/2/std::greater<>/LowerBound/First	1.069084	1.043724	-2.372	PASS
Set/2/std::greater<>/LowerBound/Last	1.117988	1.042563	-6.746	PASS
Set/2/std::greater<>/LowerBound/MiddleHit	1.113647	0.695569	-37.541	PASS
Set/2/std::greater<>/LowerBound/MiddleMiss	1.116434	1.392066	+24.689	FAIL
Set/2/std::greater<>/UpperBound/After	1.739477	2.783528	+60.021	FAIL
Set/2/std::greater<>/UpperBound/Before	2.471222	2.783612	+12.641	FAIL
Set/2/std::greater<>/UpperBound/First	1.059471	0.869425	-17.938	PASS
Set/2/std::greater<>/UpperBound/Last	0.706367	1.046130	+48.100	FAIL
Set/2/std::greater<>/UpperBound/MiddleHit	0.702049	1.044135	+48.727	FAIL
Set/2/std::greater<>/UpperBound/MiddleMiss	1.060979	0.696537	-34.350	PASS
Set/2/std::less<>/IndexOf/After	1.917646	2.090748	+9.027	FAIL
Set/2/std::less<>/IndexOf/Before	2.094235	2.091402	-0.135	PASS
Set/2/std::less<>/IndexOf/First	0.743354	0.699655	-5.879	PASS
Set/2/std::less<>/IndexOf/Last	1.045400	1.045056	-0.033	PASS
Set/2/std::less<>/IndexOf/MiddleHit	0.756455	1.045651	+38.231	FAIL
Set/2/std::less<>/IndexOf/MiddleMiss	0.762173	0.751894	-1.349	PASS
Set/2/std::less<>/LowerBound/After	1.741154	2.440153	+40.146	FAIL
Set/2/std::less<>/LowerBound/Before	2.663150	3.131187	+17.575	FAIL
Set/2/std::less<>/LowerBound/First	1.079569	1.046543	-3.059	PASS
Set/2/std::less<>/LowerBound/Last	1.065706	1.394006	+30.806	FAIL
Set/2/std::less<>/LowerBound/MiddleHit	1.072443	1.044928	-2.566	PASS
Set/2/std::less<>/LowerBound/MiddleMiss	1.095858	0.980359	-10.540	PASS
Set/2/std::less<>/UpperBound/After	1.747399	2.097195	+20.018	FAIL
Set/2/std::less<>/UpperBound/Before	2.459814	2.789266	+13.393	FAIL
Set/2/std::less<>/UpperBound/First	1.068276	0.697185	-34.737	PASS
Set/2/std::less<>/UpperBound/Last	0.697283	1.045228	+49.900	FAIL
Set/2/std::less<>/UpperBound/MiddleHit	0.630030	0.696115	+10.489	FAIL
Set/2/std::less<>/UpperBound/MiddleMiss	1.067439	0.697169	-34.688	PASS
Set/32/mbo::types::CompareLess<int>/IndexOf/After	5.619551	5.678104	+1.042	FAIL
Set/32/mbo::types::CompareLess<int>/IndexOf/Before	6.963681	6.974684	+0.158	FAIL
Set/32/mbo::types::CompareLess<int>/IndexOf/First	3.278651	5.023552	+53.220	FAIL
Set/32/mbo::types::CompareLess<int>/IndexOf/Last	3.705825	3.154000	-14.891	PASS
Set/32/mbo::types::CompareLess<int>/IndexOf/MiddleHit	3.211064	3.171486	-1.233	PASS
Set/32/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	3.160426	3.162803	+0.075	FAIL
Set/32/mbo::types::CompareLess<int>/LowerBound/After	5.005235	4.876000	-2.582	PASS
Set/32/mbo::types::CompareLess<int>/LowerBound/Before	6.284484	5.924892	-5.722	PASS
Set/32/mbo::types::CompareLess<int>/LowerBound/First	3.066180	2.976995	-2.909	PASS
Set/32/mbo::types::CompareLess<int>/LowerBound/Last	2.834639	2.876485	+1.476	FAIL
Set/32/mbo::types::CompareLess<int>/LowerBound/MiddleHit	2.831706	3.120331	+10.193	FAIL
Set/32/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	2.831538	2.837934	+0.226	FAIL
Set/32/mbo::types::CompareLess<int>/UpperBound/After	4.878262	4.860148	-0.371	PASS
Set/32/mbo::types::CompareLess<int>/UpperBound/Before	5.940983	5.926049	-0.251	PASS
Set/32/mbo::types::CompareLess<int>/UpperBound/First	3.525824	3.529639	+0.108	FAIL
Set/32/mbo::types::CompareLess<int>/UpperBound/Last	2.672111	2.683681	+0.433	FAIL
Set/32/mbo::types::CompareLess<int>/UpperBound/MiddleHit	2.835012	2.829415	-0.197	PASS
Set/32/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	2.835151	3.157373	+11.365	FAIL
Set/32/std::greater<>/IndexOf/After	5.919384	5.922119	+0.046	FAIL
Set/32/std::greater<>/IndexOf/Before	7.319899	6.966219	-4.832	PASS
Set/32/std::greater<>/IndexOf/First	4.192999	3.386224	-19.241	PASS
Set/32/std::greater<>/IndexOf/Last	3.224823	3.153211	-2.221	PASS
Set/32/std::greater<>/IndexOf/MiddleHit	3.162877	3.154294	-0.271	PASS
Set/32/std::greater<>/IndexOf/MiddleMiss	3.161448	3.599481	+13.855	FAIL
Set/32/std::greater<>/LowerBound/After	5.598887	5.064989	-9.536	PASS
Set/32/std::greater<>/LowerBound/Before	6.263551	5.928617	-5.347	PASS
Set/32/std::greater<>/LowerBound/First	3.599621	3.523659	-2.110	PASS
Set/32/std::greater<>/LowerBound/Last	3.231728	2.946687	-8.820	PASS
Set/32/std::greater<>/LowerBound/MiddleHit	2.974352	3.064308	+3.024	FAIL
Set/32/std::greater<>/LowerBound/MiddleMiss	2.843806	3.169844	+11.465	FAIL
Set/32/std::greater<>/UpperBound/After	4.933476	5.241497	+6.243	FAIL
Set/32/std::greater<>/UpperBound/Before	5.924262	5.627965	-5.001	PASS
Set/32/std::greater<>/UpperBound/First	3.530386	3.526324	-0.115	PASS
Set/32/std::greater<>/UpperBound/Last	2.833623	2.845413	+0.416	FAIL
Set/32/std::greater<>/UpperBound/MiddleHit	2.828325	2.838605	+0.363	FAIL
Set/32/std::greater<>/UpperBound/MiddleMiss	2.842914	2.846588	+0.129	FAIL
Set/32/std::less<>/IndexOf/After	6.259941	5.564869	-11.103	PASS
Set/32/std::less<>/IndexOf/Before	6.969366	7.331634	+5.198	FAIL
Set/32/std::less<>/IndexOf/First	3.869895	3.302276	-14.668	PASS
Set/32/std::less<>/IndexOf/Last	3.165302	3.160005	-0.167	PASS
Set/32/std::less<>/IndexOf/MiddleHit	3.442633	3.428747	-0.403	PASS
Set/32/std::less<>/IndexOf/MiddleMiss	3.167918	3.155250	-0.400	PASS
Set/32/std::less<>/LowerBound/After	4.954114	4.873333	-1.631	PASS
Set/32/std::less<>/LowerBound/Before	5.942230	5.937299	-0.083	PASS
Set/32/std::less<>/LowerBound/First	3.531106	3.589100	+1.642	FAIL
Set/32/std::less<>/LowerBound/Last	2.869758	3.456012	+20.429	FAIL
Set/32/std::less<>/LowerBound/MiddleHit	2.834528	2.831712	-0.099	PASS
Set/32/std::less<>/LowerBound/MiddleMiss	2.833765	2.886123	+1.848	FAIL
Set/32/std::less<>/UpperBound/After	5.220751	4.931077	-5.549	PASS
Set/32/std::less<>/UpperBound/Before	6.217907	5.927368	-4.673	PASS
Set/32/std::less<>/UpperBound/First	3.531811	3.537981	+0.175	FAIL
Set/32/std::less<>/UpperBound/Last	3.315024	2.944982	-11.163	PASS
Set/32/std::less<>/UpperBound/MiddleHit	2.837295	3.193721	+12.562	FAIL
Set/32/std::less<>/UpperBound/MiddleMiss	2.833244	2.912328	+2.791	FAIL
Set/4/mbo::types::CompareLess<int>/IndexOf/After	1.742484	1.741740	-0.043	PASS
Set/4/mbo::types::CompareLess<int>/IndexOf/Before	3.485296	3.495610	+0.296	FAIL
Set/4/mbo::types::CompareLess<int>/IndexOf/First	1.045454	1.044898	-0.053	PASS
Set/4/mbo::types::CompareLess<int>/IndexOf/Last	0.695606	0.697864	+0.325	FAIL
Set/4/mbo::types::CompareLess<int>/IndexOf/MiddleHit	1.391287	1.043111	-25.025	PASS
Set/4/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	1.392934	1.392587	-0.025	PASS
Set/4/mbo::types::CompareLess<int>/LowerBound/After	2.441233	2.092963	-14.266	PASS
Set/4/mbo::types::CompareLess<int>/LowerBound/Before	3.134683	4.528591	+44.467	FAIL
Set/4/mbo::types::CompareLess<int>/LowerBound/First	1.673480	1.741242	+4.049	FAIL
Set/4/mbo::types::CompareLess<int>/LowerBound/Last	1.113832	1.046220	-6.070	PASS
Set/4/mbo::types::CompareLess<int>/LowerBound/MiddleHit	1.117904	1.392871	+24.597	FAIL
Set/4/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	1.115377	1.394346	+25.011	FAIL
Set/4/mbo::types::CompareLess<int>/UpperBound/After	2.460235	2.087316	-15.158	PASS
Set/4/mbo::types::CompareLess<int>/UpperBound/Before	3.137005	4.183207	+33.350	FAIL
Set/4/mbo::types::CompareLess<int>/UpperBound/First	1.610693	1.393140	-13.507	PASS
Set/4/mbo::types::CompareLess<int>/UpperBound/Last	1.087127	1.044625	-3.910	PASS
Set/4/mbo::types::CompareLess<int>/UpperBound/MiddleHit	1.092654	1.391958	+27.392	FAIL
Set/4/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	1.062188	1.394140	+31.252	FAIL
Set/4/std::greater<>/IndexOf/After	2.092251	1.744785	-16.607	PASS
Set/4/std::greater<>/IndexOf/Before	3.483352	3.503983	+0.592	FAIL
Set/4/std::greater<>/IndexOf/First	1.045845	1.055324	+0.906	FAIL
Set/4/std::greater<>/IndexOf/Last	0.696189	0.872133	+25.273	FAIL
Set/4/std::greater<>/IndexOf/MiddleHit	1.392199	1.055031	-24.218	PASS
Set/4/std::greater<>/IndexOf/MiddleMiss	1.044258	1.403273	+34.380	FAIL
Set/4/std::greater<>/LowerBound/After	2.509713	2.095790	-16.493	PASS
Set/4/std::greater<>/LowerBound/Before	3.130200	4.245891	+35.643	FAIL
Set/4/std::greater<>/LowerBound/First	1.622343	1.398587	-13.792	PASS
Set/4/std::greater<>/LowerBound/Last	1.066881	1.050839	-1.504	PASS
Set/4/std::greater<>/LowerBound/MiddleHit	1.114807	1.398592	+25.456	FAIL
Set/4/std::greater<>/LowerBound/MiddleMiss	1.069334	1.397060	+30.648	FAIL
Set/4/std::greater<>/UpperBound/After	2.439914	2.105974	-13.687	PASS
Set/4/std::greater<>/UpperBound/Before	3.135133	4.210196	+34.291	FAIL
Set/4/std::greater<>/UpperBound/First	1.611156	1.168277	-27.488	PASS
Set/4/std::greater<>/UpperBound/Last	1.090504	0.820061	-24.800	PASS
Set/4/std::greater<>/UpperBound/MiddleHit	1.100938	1.394850	+26.697	FAIL
Set/4/std::greater<>/UpperBound/MiddleMiss	1.092662	1.394604	+27.634	FAIL
Set/4/std::less<>/IndexOf/After	2.088710	1.797410	-13.946	PASS
Set/4/std::less<>/IndexOf/Before	3.478193	3.503825	+0.737	FAIL
Set/4/std::less<>/IndexOf/First	1.055594	1.231296	+16.645	FAIL
Set/4/std::less<>/IndexOf/Last	0.696900	0.700500	+0.517	FAIL
Set/4/std::less<>/IndexOf/MiddleHit	1.393046	1.001689	-28.094	PASS
Set/4/std::less<>/IndexOf/MiddleMiss	1.044665	1.394850	+33.521	FAIL
Set/4/std::less<>/LowerBound/After	2.436682	2.099790	-13.826	PASS
Set/4/std::less<>/LowerBound/Before	3.131113	4.557670	+45.561	FAIL
Set/4/std::less<>/LowerBound/First	1.603284	1.400724	-12.634	PASS
Set/4/std::less<>/LowerBound/Last	1.064645	1.050730	-1.307	PASS
Set/4/std::less<>/LowerBound/MiddleHit	1.064717	1.402198	+31.697	FAIL
Set/4/std::less<>/LowerBound/MiddleMiss	1.065871	1.398592	+31.216	FAIL
Set/4/std::less<>/UpperBound/After	2.437812	2.100986	-13.817	PASS
Set/4/std::less<>/UpperBound/Before	3.132508	4.193200	+33.861	FAIL
Set/4/std::less<>/UpperBound/First	1.609060	1.208580	-24.889	PASS
Set/4/std::less<>/UpperBound/Last	1.088381	0.818156	-24.828	PASS
Set/4/std::less<>/UpperBound/MiddleHit	1.073227	1.051446	-2.029	PASS
Set/4/std::less<>/UpperBound/MiddleMiss	1.061937	1.051163	-1.015	PASS
Set/8/mbo::types::CompareLess<int>/IndexOf/After	1.045235	0.714207	-31.670	PASS
Set/8/mbo::types::CompareLess<int>/IndexOf/Before	1.481783	1.744019	+17.697	FAIL
Set/8/mbo::types::CompareLess<int>/IndexOf/First	1.741170	1.766841	+1.474	FAIL
Set/8/mbo::types::CompareLess<int>/IndexOf/Last	1.043350	1.048519	+0.495	FAIL
Set/8/mbo::types::CompareLess<int>/IndexOf/MiddleHit	1.740014	1.395629	-19.792	PASS
Set/8/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	1.336694	1.744083	+30.477	FAIL
Set/8/mbo::types::CompareLess<int>/LowerBound/After	3.132023	2.091784	-33.213	PASS
Set/8/mbo::types::CompareLess<int>/LowerBound/Before	3.835679	3.680593	-4.043	PASS
Set/8/mbo::types::CompareLess<int>/LowerBound/First	2.192835	3.854259	+75.766	FAIL
Set/8/mbo::types::CompareLess<int>/LowerBound/Last	1.602942	2.051452	+27.980	FAIL
Set/8/mbo::types::CompareLess<int>/LowerBound/MiddleHit	1.617203	3.153880	+95.021	FAIL
Set/8/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	1.617829	3.153091	+94.896	FAIL
Set/8/mbo::types::CompareLess<int>/UpperBound/After	3.130474	2.087020	-33.332	PASS
Set/8/mbo::types::CompareLess<int>/UpperBound/Before	3.829596	2.788612	-27.183	PASS
Set/8/mbo::types::CompareLess<int>/UpperBound/First	2.193507	2.444458	+11.441	FAIL
Set/8/mbo::types::CompareLess<int>/UpperBound/Last	1.740420	1.395664	-19.809	PASS
Set/8/mbo::types::CompareLess<int>/UpperBound/MiddleHit	1.609833	2.101946	+30.569	FAIL
Set/8/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	1.600751	2.097798	+31.051	FAIL
Set/8/std::greater<>/IndexOf/After	0.730204	1.046983	+43.382	FAIL
Set/8/std::greater<>/IndexOf/Before	1.408405	1.399105	-0.660	PASS
Set/8/std::greater<>/IndexOf/First	2.092805	2.107228	+0.689	FAIL
Set/8/std::greater<>/IndexOf/Last	1.043786	1.046050	+0.217	FAIL
Set/8/std::greater<>/IndexOf/MiddleHit	1.741310	1.741378	+0.004	FAIL
Set/8/std::greater<>/IndexOf/MiddleMiss	1.742739	1.396911	-19.844	PASS
Set/8/std::greater<>/LowerBound/After	3.138413	2.093703	-33.288	PASS
Set/8/std::greater<>/LowerBound/Before	3.828257	3.140644	-17.962	PASS
Set/8/std::greater<>/LowerBound/First	2.192088	2.794565	+27.484	FAIL
Set/8/std::greater<>/LowerBound/Last	1.602102	1.742328	+8.753	FAIL
Set/8/std::greater<>/LowerBound/MiddleHit	1.618770	2.088980	+29.047	FAIL
Set/8/std::greater<>/LowerBound/MiddleMiss	1.615392	2.091308	+29.461	FAIL
Set/8/std::greater<>/UpperBound/After	3.138436	2.292746	-26.946	PASS
Set/8/std::greater<>/UpperBound/Before	3.833905	2.795200	-27.093	PASS
Set/8/std::greater<>/UpperBound/First	2.186012	2.094459	-4.188	PASS
Set/8/std::greater<>/UpperBound/Last	1.589131	1.392978	-12.343	PASS
Set/8/std::greater<>/UpperBound/MiddleHit	1.610693	2.093096	+29.950	FAIL
